Sighting Identifier (entry #),date and time reported,date observed,County,City,North or South,Habitat,firefly count (estimate),Sighting Notes
499,06/12/2021 - 10:31pm,6/12/2021,Rich,Garden city,north,Marsh,5,Hundreds of them
28,04/30/2015 - 9:04pm,7/3/2014,Beaver,beaver,south,marsh/slough/pasture,3,not as many last year as year before
12,07/22/2014 - 6:31pm,7/6/2014,Box Elder,Willard,north,Pond/Creek with trees and grassy area,3,The people who took us to see them stated they were more prevalent with much more blinking earlier in the summer.
19,04/30/2015 - 9:22am,6/27/2014,Box Elder,Perry,north,wetland,2,"Was in 2012 on a run late at night, 100 percent sure it was fireflys"
43,06/13/2015 - 1:01am,6/18/2014,Box Elder,Brigham city,north,grassy field near small irrigation ditch,10,
103,07/13/2015 - 11:57am,6/19/2015,Box elder,bear river city and Tremonton,north,bird refuge/ marshes,9,
162,06/20/2016 - 10:44pm,6/20/2016,Box Elder,Perry,north,Pasture,15,
209,06/19/2017 - 10:39pm,6/19/2017,Box Elder,Brigham City,north,Pasture/wet meadow,2,Fairly high number of fireflies.
211,06/21/2017 - 5:46pm,6/20/2017,Box Elder,Perry,north,Marshy pond behind house,10,Power was out at my house sat outside to look at stars and seen them 
219,06/25/2017 - 12:10am,6/21/2017,Box Elder,Brigham city,north,Pature,20,"seen some just to the south east of this location about 400 south 1000 west, going to try looking earlier in the evening. "
250,06/01/2018 - 12:21am,5/31/2018,Box elder,Brigham,north,Pasture and farm,1,They were right on the brush that lines the sidewalks and street. Some flew onto street and fortunetly were not hit by cars
258,06/03/2018 - 11:03pm,6/1/2018,box elder,perry,north,wetland/pasture,15,"We saw hundreds in the field, I haven't seen that many in utah."
362,06/13/2019 - 1:43am,6/12/2019,Box Elder,Brigham City,north,Marsh/Pasture,25,"No actual CROSS street, just roughly 400 N. on 900 W. West side of 900 W."
451,06/27/2020 - 10:22pm,6/27/2020,Box Elder,Mantua,north,Marsh pasture,50,
462,07/06/2020 - 4:39am,7/6/2020,Box Elder,Mantua,north,Orchard,3,
519,06/21/2021 - 11:04pm,6/21/2021,Box Elder,Brigham City,north,Marsh pasture,30,
598,06/18/2022 - 7:46pm,6/17/2022,Box elder,Brigham city,north,Pasture,10,
23,04/30/2015 - 4:52pm,6/4/2014,Cache,Nibley,north,Wetland,3,It was actually in 2010 but that wasn't an option. We moved since then!
40,06/12/2015 - 12:33pm,6/11/2015,Cache,Mendon,north,Pasture,20,I only saw two but every year there are a lot more. It is either the end or the start of them coming out
44,06/13/2015 - 1:58pm,6/11/2015,Cache,Nibley,north,Marsh,7,We saw the fireflies cover about one acre of the marsh.
46,06/16/2015 - 8:14am,6/15/2015,Cache,Nibley,north,Marsh,20,"At first there were not many, just a flicker here and there. But by 10:00pm, there were hundreds."
48,06/19/2015 - 6:10am,6/17/2015,Cache,Nibley,north,Wetland,100,"Our goal is to protect these fireflies, not have an entomologist add to a collection. Hence I did not list the exact address."
74,07/12/2015 - 9:55pm,6/25/2015,Cache,Nibley,north,Wetland,2,Over 100 in a combination wetland-pastureland. We are going to protect this area as a City Nature Park. Contact me.
87,07/12/2015 - 11:26pm,7/11/2015,Cache,Mendon,north,Marsh/pasture,5,I've seen them for years. Sometimes there are more blinks and more flies than other times.
204,06/17/2017 - 11:33pm,6/17/2017,Cache,Nibbley,north,Feild,2,
217,06/24/2017 - 12:39am,6/23/2017,Cache,Smithfield ,north,Pasture marsh,5,Football field size area at least.
220,06/25/2017 - 11:44pm,6/25/2017,Cache,Mendon,north,Cattails farm fields,2,In fields below Mendon on 5400 West
273,06/08/2018 - 11:27pm,6/8/2018,cache,Benson,north,Farm,4,
293,06/14/2018 - 7:53pm,6/13/2018,Cache,Garden City,north,Wetlands near lake,5,Some blinked on and off. A few emitted a continuous dimmer light for a minute or so.
367,06/16/2019 - 10:09pm,6/15/2019,Cache,Nibley,north,Marshland surrounding neighborhood park,3,
377,06/25/2019 - 3:19pm,6/22/2019,Cache,Nibley,north,Grassy Wetland,1,
438,06/20/2020 - 11:32pm,6/20/2020,Cache,North Logan,north,Grass,2,I saw it in my neighbors yard. We saw it blink at least 4 times than lost it.
455,06/29/2020 - 12:09pm,6/25/2020,Cache,Nibley,north,Wetland,3,"We saw them from 10:30 to 10:45 pm, there were several flashing during that time, near a wood walkway."
467,07/11/2020 - 5:31pm,7/2/2020,Cache,Logan,north,"fields of long grass, with low trees",2,the fireflies were far away so I was unable to get a good picture of them.
469,07/11/2020 - 11:26pm,5/30/2020,Cache,Logan,north,Marsh,3,
509,06/17/2021 - 8:33pm,6/16/2021,Cache,"USU Research Station, Logan Canyon",north,Boggy grasslands. Forrest last.,10,Have pics but doesn’t allow me to submit.
515,06/19/2021 - 2:39pm,6/18/2021,Cache,Logan,north,Marshy riparian,4,We were on the walking bridge over the water next to the “Logan” sign coming into town.
535,06/28/2021 - 9:39am,6/27/2021,Cache,Garden,north,Reedy Marsh,15,
537,06/28/2021 - 6:31pm,6/24/2021,Cache,Nibley,north,Marsh,2,"Yellow/greenish glow, possibly Photinus sp, caught male and female, along with 3 red mites"
538,06/28/2021 - 8:03pm,6/24/2021,Cache,Logan,north,Long grasses at firefly nature park.,1,"The fireflies seemed sparse, but it could have also been the light pollution as well as my lack of experience identifying them."
607,06/23/2022 - 1:48pm,6/10/2022,Cache,Nibley,north,Marsh,10,
620,07/03/2022 - 8:04pm,7/3/2022,Cache,Lewiston,north,Farm,1,
653,07/05/2022 - 7:00pm,7/1/2022,Cache,"Garden, Utah",north,Marsh,3,We saw at least 3. They appeared to be on the tips of thick grass (about half a meter tall) on the edge of a wet marshy area.
655,07/05/2022 - 10:42pm,7/5/2022,Cache,Mendon,north,Wetland,7,Saw them at the same location on the evenings of July 4th and 5th between 10 and 10:30 on the south side of 2400 S.
443,06/23/2020 - 5:55pm,6/21/2020,Cache County,Nibley,north,Marsh,21,"21 blinks of light in 10 seconds, they would emit 3 blinks in a row quickly then a couple sec pause in between.."
317,07/01/2018 - 11:31am,6/26/2018,cache valley,logan,north,pasture,4,
294,06/14/2018 - 11:06pm,6/13/2018,Carbon,Price,south,Marshyby lake,3,
407,08/22/2019 - 1:24am,8/21/2019,Carbon,Price,south,Farm,45,
374,06/20/2019 - 4:03pm,6/17/2019,Daggett,Manila,north,"Evergreens, Pinyon pines, shrubs, and tall grass running along Sheep Creek",3,"It was full dark, no lights or headlights from the road. There were only a few that we could tell, low in grass by the stream"
611,06/28/2022 - 4:49pm,6/25/2022,Daggett,Manila,north,Wetland,2,Only saw about two or three
9,07/14/2014 - 11:09am,7/4/2014,Davis,Layton,north,Wetland,2,"Our lawn backs up to a wetland, we just saw one flying across our lawn. First one I've ever seen in Utah."
71,07/11/2015 - 9:31pm,7/11/2015,Davis,Clearfield,north,Forest/suburb,4,
72,07/12/2015 - 4:48pm,7/11/2015,Davis,Clearfield,north,Open space behind townhome,3,I think there were two.
121,07/27/2015 - 1:30pm,7/11/2015,Davis,Layton,north,In trees along stream,2,"I only saw one, but my neighbors have told me that they have seen several in the wetlands that are about a block south."
193,05/31/2017 - 11:12am,5/30/2017,Davis,Layton,north,City,8,"We have seen 4-5 of them flying around on several different nights, we also have 2 short videos."
245,05/27/2018 - 12:16am,5/26/2018,Davis,Layton,north,Marsh,2,
305,06/17/2018 - 5:58pm,6/16/2018,Davis,Layton,north,Park,2,
373,06/19/2019 - 2:21pm,6/17/2019,Davis,Kaysville,north,Wetland,1,Known location in Davis County wetland secured by fence
507,06/16/2021 - 12:44am,5/15/2002,Davis,Kaysville,north,Marsh,3,
516,06/20/2021 - 11:04am,6/20/2021,Davis,Clinton,north,"Residential neighborhood (there is a pond near, but it would be quite a journey for the firefly)",2,"Just one firefly, it would blink off and disappear for a bit and then I would spot it again a couple minutes later. 4 times"
610,06/27/2022 - 11:04pm,6/24/2022,Davis,North Salt Lake,north,Park with pond,1,Date uncertain - June 20-25. Saw 5 distinct flashes over about 15 minutes (no rapid pattern). Definitely not reflected light.
678,07/24/2022 - 8:55pm,7/24/2022,Davis,Bountiful,north,Forest,2,
32,05/04/2015 - 11:25pm,7/12/2014,Duchesne,Altamont,north,"Pasture, Marsh",2,
76,07/12/2015 - 10:21pm,7/30/2014,Duchesne,Independence,north,Pasture and grass next to small creek,3,10 to 20 fireflies for about 10 days
77,07/12/2015 - 10:23pm,7/4/2015,Duchesne,Neola,north,"pasture near sagebrush, cottonwood trees & weeds",1,
99,07/13/2015 - 9:29am,6/12/2015,Duchesne,Neola,north,Neola cemetery,2,We think it was a sign from an angel! We lost a very special little girl and we think it was her telling us she was with us!
148,06/05/2016 - 11:43pm,6/5/2016,Duchesne,Talmage,north,Wetland,20,I have seen many fire flies in the Midwest but never in Utah. This was amazing!!!
252,06/02/2018 - 1:16pm,5/31/2018,Duchesne,Roosevelt,north,Marsh wetland,2,I have lived here my whole life and there have always been fireflies around. 40 plus years
259,06/04/2018 - 10:46am,6/3/2018,Duchesne,Neola,north,Horse pasture,15,My video is too big to send. There were at least 2 dozen we noticed. Never seen them in 13 years we lived here! Pretty exciting!
279,06/10/2018 - 10:04am,6/9/2018,Duchesne,Neola/ cedarview,north,Hay field,2,
390,07/08/2019 - 11:27pm,7/7/2019,Duchesne,"Neola, Utah",north,Uinta River riparian area,2,I was driving down a two track road and saw them blinking over in the willows.
396,07/15/2019 - 12:22am,7/13/2019,Duchesne,Hanna,north,Wetlands marshy grass between spring fed ponds,3,Saw 2-3 possibly more. Only saw them glowing from 30’ away. Never saw the beetle themselves.
397,07/15/2019 - 11:27am,7/2/2019,Duchesne,Moon Lake resort,north,wet pasture,15,specimens collected (alcohol and dry)
468,07/11/2020 - 6:20pm,7/10/2020,Duchesne,Neola,north,Neola cemetery,5,
482,05/30/2021 - 2:40pm,5/29/2021,Duchesne,Neola,north,Pasture,20,It's been a couple years since our last sightings but happy to see the few of them out.
502,06/13/2021 - 4:16pm,6/4/2021,Duchesne,Altonah,north,Pasture and marsh,5,
661,07/11/2022 - 5:21pm,7/10/2022,Duchesne,Bridgeland,north,wetland/marsh by farm irrigated field,10,
13,04/29/2015 - 8:40pm,7/4/2014,Garfield,Escalante,south,"Spring, along the wall of the Gulch and creek",5,"This was in 2012. The water flows out of the gulch walls, it is sort of marshy down there, along the edge of the river."
113,07/13/2015 - 5:58pm,7/10/1977,Garfield,Escalante,south,wetlands in the trees and bushes near the edge of the creek in the canyons,2,They live all along Calf Creek in the Escalante Canyonlands. I have been seeing them there regularly since the mid-1970's
187,07/17/2016 - 12:05am,7/14/2016,Garfield,"nearest is Escalante, UT",south,desert gulch stream,4,
490,06/06/2021 - 4:50pm,6/5/2021,Garfield,Bryce Canyon National Park,south,Creek side,20,Saw at least 20 fireflies upstream from Yellow Creek campsite at Bryce Canyon NP. Activity occurred in waves with the whole grp
518,06/21/2021 - 6:18pm,6/18/2021,Garfield,Henrieville,south,Henrieville wash,100,We saw probably around 30 fireflies. There's a spring that flows constantly through this wash.
626,07/03/2022 - 8:55pm,6/29/2017,Garfield,Escalante,south,Desert Gully,2,I saw fireflies in coyote gulch in 1990 as well
648,07/04/2022 - 3:02pm,6/13/2022,Garfield,Bryce Canyon city,south,Pastureland close to the creek,1,I couldn’t get my photo to upload. I saw these same firefly’s at kings creek campground several years ago on two separate occasi
207,06/18/2017 - 9:45pm,10/18/2000,Garfield ,"near Escalante, Utah",south,Fern Springs on the back side of Jacob Hamblin Arch in Coyote Gulch. 35 miles outside of Escalante Utah.,2,"There were Hundreds of them, like big flash lights in the Ferns within the Box Canyon. I have seen them on 2 or 3 occasions."
241,05/18/2018 - 9:24pm,6/16/2007,Garfield County,Bryce Canyon National Park,south,"Desert, with very small creek at campsite",2,We saw maybe 3 of them. We've never forgotten this -- we were so blown away they were there is such a dry place.
512,06/18/2021 - 10:18am,6/11/2021,Garfield County,Coyote Gulch - Near Escalante,south,Stream running through the gulch. In the vegetated area on the canyon wall,8,1 bug. First time ever seeing a lightning bug in person. Did not know they existed out west. Friend confirmed it.
226,07/19/2017 - 5:05pm,7/17/2015,Garfield or kane,Coyote Gulch ,south,Gulch in desert,24,
238,11/17/2017 - 8:19am,5/29/2017,Garfield/Kane,Coyote Gulch,south,"Stream, bit of marsh",5,We saw one across the stream from us in the distance and then 30 min later one slowly flew over us blinking the whole time.
78,07/12/2015 - 10:32pm,7/9/2015,Grand,Moab - Spanish Valley,south,Pack Creek,15,"10 pm, not am. observed several nights along Pack Creek; sightings other years, not often."
81,07/12/2015 - 10:46pm,7/15/2014,Grand,Moab,south,Desert canyon with a creek,1,"Happened in 2011 but site didn't give that option. Didn't flash a lot, only maybe 5 per minute"
338,08/07/2018 - 11:02pm,8/6/2018,Grand,So East of Escalante,south,"Coyote Gulch, Jacob Hamblin Arch",3,Four people witnessed the spectacular light show. Flouressing in a bright almost white glow.
339,08/08/2018 - 8:32pm,8/6/2018,Grand,"Coyote Gulch, Escalante Drainage",south,"Wetland, Desert Oasis",2,Observed two nights in a row and witnessed by 4 individuals
477,11/21/2020 - 9:50pm,11/21/2020,Grand,Moab,south,Tree,10,6 fireflys high up in tree above house
478,02/11/2021 - 2:47pm,5/31/2018,Grand,Castle Valley,south,looking down into an arroyo that had a small pond and spring with vegitation,2,
59,07/02/2015 - 6:56am,6/27/2015,Grand County,Moab,south,Pasture/park,6,"we've seen 12-20 at a time, it's always around 80 degrees and right at 11:45pm."
60,07/02/2015 - 6:56am,6/27/2015,Grand County,Moab,south,Pasture/park,6,"we've seen 12-20 at a time, it's always around 80 degrees and right at 11:45pm."
181,07/07/2016 - 1:20pm,6/30/2015,Iron,Brian Head,south,Forest,1,larvae
433,06/16/2020 - 3:29pm,6/6/2020,Iron,Cedar City/Ashdown Wilderness,south,"Forest with mountain stream, Rattlesnake Creek",3,Hi! We just saw one fly and I really can't say how many blinks in 10 seconds. Hope that's helpful!
64,07/03/2015 - 9:49pm,6/25/2015,Kane,Lake Powell,south,Nice wet micro-climate in the middle of the desert,4,
332,07/09/2018 - 10:09am,6/1/1991,Kane,Johnson Canyon (near Kanab Utah),south,Wetland,100,Don't remember the exact date--May or June of 1991. Private property at a few acres of wetland/marsh. Hundreds of fireflies
340,08/13/2018 - 9:15pm,8/11/2018,Kane,Escalante/glen canyon,south,Hanging garden/dense riparian at head of canyon. Side drainage of Willow Gulch,3,Was camped at head of canyon. Brighter and whiter light than other fireflies I've seen. Saw flashes from ~4 individuals.
394,07/13/2019 - 10:38am,7/11/2019,Kane,Glen canyon national recreation area,south,"Marsh - river, many trees, red rock, spot canyon",50,"Seemed to be gathered around one specific area, was at night around 9:30 so it was a cooler temperature."
666,07/15/2022 - 8:22am,7/5/2022,Kane,"Coyote Gulch, by Jacob Hamblin arch",south,by the springs at Jacob Hamblin Arch,7,it looks like others have reported this as well. But it was fun to see them out in the desert.
319,07/02/2018 - 9:23pm,6/21/2018,Kane County,Garfield,south,river side marsh,4,Only saw a hand full of fire flies for a brief time.
170,06/29/2016 - 6:32pm,6/28/2016,Morgan,Stoddard,north,Pasture/wetland/farm,2,
227,07/21/2017 - 9:37pm,7/21/2017,Morgan,Milton,north,Rural/farm,3,"We were driving, being from Indiana and told there were none in Utah we are excited to have seen at least 10 along this roadway."
628,07/03/2022 - 9:16pm,7/15/1967,Morgan,Morgan,north,Chokecherry shrubs,20,West side of East Canyon Reservoir. Observed here many times
93,07/13/2015 - 2:42am,6/21/2015,rich,garden city,north,wetland,25,
306,06/18/2018 - 3:19pm,6/16/1964,Rich,Garden City,north,Wetlands,3,
444,06/23/2020 - 9:53pm,6/21/2020,Rich,Garden city,north,Lakeside,1,One female on ground one in air. Further south we saw a few more. Saw them 21st 22nd and 23rd
445,06/23/2020 - 10:07pm,6/23/2020,Rich,Garden city,north,Lakeside,20,Found about 30 of them a lot more active than the previous set
446,06/23/2020 - 10:50pm,6/23/2020,Rich,Garden City,north,Wetlands near Bear Lake,4,
569,10/04/2021 - 12:28pm,6/20/2020,Rich,Garden City,north,"Emergent wetland - sedge, rush, cattail",4,at least 20 fireflies
570,10/04/2021 - 12:30pm,6/22/2021,Rich,Garden City,north,"Emergent wetland - sedge, rush, cattail, and in lower branches of willows",4,
593,06/17/2022 - 7:52am,6/16/2022,Rich,Garden city,north,Marsh/Lakeside/Wetland,5,
594,06/17/2022 - 7:52am,6/16/2022,Rich,Garden city,north,Marsh/Lakeside/Wetland,5,
625,07/03/2022 - 8:40pm,7/2/2022,Rich,Garden City,north,Wetland,2,We saw them first on June 23 and every night since in wetland next door and close to beach.
637,07/04/2022 - 6:23am,6/18/2022,Rich,Garden city,north,Marsh,2,I have seen fire flys in this same swamp area for 16 years.
638,07/04/2022 - 6:31am,7/2/2022,Rich,Garden City,north,Lakefront marsh area,1,
660,07/10/2022 - 1:26pm,8/6/2002,Rich,Garden city,north,Marsh,3,"I grew up in bear lake, I use to tell people about the bear lake fireflies we found but no one ever believed me."
664,07/13/2022 - 1:31pm,6/11/2022,Rich,Garden City,north,Lakeside/wetlands,5,
409,05/16/2020 - 2:48pm,8/29/2019,Rich county,Garden City,north,Slightly swampy,2,I saw two glowing bugs floating around for about 20 seconds occasionally blinking on and off before they got to far away from me
534,06/27/2021 - 11:07pm,6/27/2021,Rich County,Garden City,north,Grass near lakeside,4,Saw about three different ones flying and blinking.
27,04/30/2015 - 5:41pm,1/1/2015,Salt lake,Sandy,north,In my parents basement farm field across street at that time. No more sightings growing up there.,1,One firefly in my parents basement year about 1981
80,07/12/2015 - 10:39pm,6/19/2015,salt lake,west valley city,north,city,4,happened at the redwood drive inn
129,09/11/2015 - 9:59pm,9/11/2015,Salt Lake,Salt Lake City,north,Highschool Football Field,12,3 fireflies
152,06/10/2016 - 11:54pm,6/10/2016,Salt Lake,Murray,north,School Parking lot,2,I was at a school parking lot when I saw it flying over me and flashing twice. It then landed on a tree.
184,07/12/2016 - 7:47pm,7/1/2016,Salt Lake,Sandy,north,Parking lot,2,It was crossing south through the dimple dell recreation center
283,06/11/2018 - 10:11pm,6/11/2018,Salt Lake,Draper,north,Mountainside,4,I was so surprised to see these!
341,08/24/2018 - 9:14pm,8/24/2018,Salt lake,Salt lake,north,Back yard,2,
346,04/22/2019 - 8:45am,4/20/2019,Salt lake,Magna,north,neighborhood,2,"I thought I was crazy, I walked in my back yard and saw a flash in the corner of my eye. it had just stopped raining."
366,06/15/2019 - 8:02am,6/15/2019,salt lake,Salt Lake City,north,wet,1,there were around 15 of these spotted most were not blinking yet. im almost certain there were at least two that lit up.
392,07/09/2019 - 10:55pm,7/9/2019,Salt Lake,Salt Lake,north,Garden near stream,4,
442,06/22/2020 - 10:33pm,6/9/2020,Salt Lake,Salt Lake City,north,"Urban yard, flower bef",5,I have a video on my security system and a copy on my cell phone; unable to upload
527,06/24/2021 - 10:29pm,6/7/2021,Salt Lake,West Valley Coty,north,Residential with large pine tree canopies,10,I actually have a video of this but the this site would not allow me to upload the video
546,07/05/2021 - 8:22am,7/5/2021,Salt Lake,Spruces campground Big Cottonwood canyon,north,Marshy meadow,3,Not as concentrated as we saw when we lived back east. It was a marshy meadow with tall grass.
580,06/03/2022 - 10:20pm,6/3/2022,salt lake,salt lake,north,farm,2,
581,06/05/2022 - 10:00am,6/5/2022,Salt lake,Salt lake,north,Residential,20,They come out every night like clockwork it look like a swarm of anchovies flying in the sky lighting up
663,07/13/2022 - 9:06am,7/12/2022,Salt Lake,Millcreek,north,Backyard pond,5,3 sighted in evening. Didn’t trust myself. Next morning saw 5 in day
676,07/19/2022 - 9:33pm,7/19/2022,Salt Lake,Salt Lake City,north,"Edge of foothills, in/around a tree",3,Near Red Butte Gardens
214,06/22/2017 - 9:42pm,6/20/2017,Salt Lake ,South salt lakr,north,Tall grassrs,10,
123,08/06/2015 - 2:35pm,8/5/2015,Salt lake city,Taylorsville,north,trees,5,have been there for the pass 3 weeks
335,07/16/2018 - 4:38pm,7/11/2018,Salt Lake City COunty,Salt Lake City,north,Open Grass Field of Red Butte Garden Amphitheater,2,"The blinks were very sporadic for about an hour. There were some long flying blinks, with some short hoovering blinks."
118,07/16/2015 - 2:10pm,7/14/2015,Salt Lake County,Salt Lake City,north,"Suburban tall pasture grass along a fence line, with plenty of water in tall lawn",2,"My spouse and I were walking in the evening, just before dusk. I saw one blink, then another, light florescent green/yellow"
379,06/26/2019 - 5:36pm,6/12/2019,Salt Lake County,Salt Lake City,north,"Suburban neighborhood, outdoor drive-in movie theater near Jordan River",2,I witnessed fireflies in this area at a frequency of 2-3 blinks per 10 seconds for an overall duration of 3-4 hours (10pm-2am).
411,05/26/2020 - 9:42pm,5/26/2020,Salt Lake County,South Jordan,north,Sitting on a window of my car.,1,"No pic of it, but it looked just like the pic on your page. Had a neon green body/tail"
412,05/26/2020 - 9:43pm,5/26/2020,Salt Lake County,South Jordan,north,Sitting on a window of my car.,1,"No pic of it, but it looked just like the pic on your page. Had a neon green body/tail"
649,07/04/2022 - 7:37pm,7/1/2022,Salt Lake County,Salt Lake City,north,Urban,8,Every night from early May to July 4th (present). Prime time is 12am to 3am. Back parking lots behind Hardison Apartments
276,06/09/2018 - 10:25pm,6/5/2018,San juan?,"Fish and Owl Canyon near Blanding, UT",south,Canyon not much water nearby pools perhaps,2,The Firefly I saw was green. He didn't seem to blink very often but glowed green.
125,08/10/2015 - 6:30pm,6/1/2010,Sanpete,Indianola,south,Marsh with spring water flowing slowly,15,First noticed in 2010 seen every summer last seen 2014 have not been to the property this year . They seem to be in abundance
